"DuplicateGroup","File","FeatureNo","ID","Name","Geometry","Coordinates"
"1","1500-2999.geojson","365",,"#1960","Point","[34.7840931,31.8406727,0.0]"
"1","1500-2999.geojson","366",,"#1960","Point","[34.7840931,31.8406727,0.0]"
"2","1500-2999.geojson","250",,"#1775","Point","[34.9925576,32.7040263,0.0]"
"2","1500-2999.geojson","251",,"#1775","Point","[34.9925576,32.7040263,0.0]"
"3","1500-2999.geojson","271",,"#1780","Point","[35.6826086,33.2421415,0.0]"
"3","1500-2999.geojson","272",,"#1780","Point","[35.6826086,33.2421415,0.0]"
"4","1500-2999.geojson","601",,"#2329","Point","[34.950494,30.539088,0.0]"
"4","1500-2999.geojson","602",,"#2329","Point","[34.950494,30.539088,0.0]"
"4","1500-2999.geojson","603",,"#2329","Point","[34.950494,30.539088,0.0]"
"5","1500-2999.geojson","598",,"#2329","Point","[35.0335121,30.8624601,0.0]"
"5","1500-2999.geojson","599",,"#2329","Point","[35.0335121,30.8624601,0.0]"
"5","1500-2999.geojson","600",,"#2329","Point","[35.0335121,30.8624601,0.0]"
"6","1500-2999.geojson","294",,"#1854","Point","[34.9378523,32.5635858,0.0]"
"6","1500-2999.geojson","295",,"#1854","Point","[34.9378523,32.5635858,0.0]"
"7","1500-2999.geojson","411",,"#1976","Point","[34.851612,31.046051,0.0]"
"7","1500-2999.geojson","412",,"#1976","Point","[34.851612,31.046051,0.0]"
"7","1500-2999.geojson","413",,"#1976","Point","[34.851612,31.046051,0.0]"
"8","1500-2999.geojson","2",,"#1797","Point","[35.2052877,31.7786959,0.0]"
"8","1500-2999.geojson","3",,"#1797","Point","[35.2052877,31.7786959,0.0]"
"9","1500-2999.geojson","374",,"#1960","Point","[35.1299046,31.7507898,0.0]"
"9","1500-2999.geojson","375",,"#1960","Point","[35.1299046,31.7507898,0.0]"
"9","1500-2999.geojson","376",,"#1960","Point","[35.1299046,31.7507898,0.0]"
"10","1500-2999.geojson","245",,"#1775","Point","[34.8514147,31.5599559,0.0]"
"10","1500-2999.geojson","246",,"#1775","Point","[34.8514147,31.5599559,0.0]"
"11","1500-2999.geojson","595",,"#2329","Point","[35.041667,31.751389,0.0]"
"11","1500-2999.geojson","596",,"#2329","Point","[35.041667,31.751389,0.0]"
"11","1500-2999.geojson","597",,"#2329","Point","[35.041667,31.751389,0.0]"
"12","1500-2999.geojson","433",,"#1994","Point","[35.033363,31.069419,0.0]"
"12","1500-2999.geojson","434",,"#1994","Point","[35.033363,31.069419,0.0]"
"12","1500-2999.geojson","435",,"#1994","Point","[35.033363,31.069419,0.0]"
"12","1500-2999.geojson","436",,"#1994","Point","[35.033363,31.069419,0.0]"
"13","1500-2999.geojson","607",,"#2332","Point","[34.983731,30.9369988,0.0]"
"13","1500-2999.geojson","608",,"#2332","Point","[34.983731,30.9369988,0.0]"
"14","1500-2999.geojson","454",,"#2020","Point","[35.6664943,32.6820921,0.0]"
"14","1500-2999.geojson","455",,"#2020","Point","[35.6664943,32.6820921,0.0]"
"15","1500-2999.geojson","5",,"#1797","Point","[34.492567,31.424513,0.0]"
"15","1500-2999.geojson","6",,"#1797","Point","[34.492567,31.424513,0.0]"
"15","1500-2999.geojson","7",,"#1797","Point","[34.492567,31.424513,0.0]"
"15","1500-2999.geojson","8",,"#1797","Point","[34.492567,31.424513,0.0]"
"15","1500-2999.geojson","9",,"#1797","Point","[34.492567,31.424513,0.0]"
"15","1500-2999.geojson","10",,"#1797","Point","[34.492567,31.424513,0.0]"
"15","1500-2999.geojson","11",,"#1797","Point","[34.492567,31.424513,0.0]"
"16","1500-2999.geojson","379",,"#1960","Point","[34.8654543,31.8542313,0.0]"
"16","1500-2999.geojson","380",,"#1960","Point","[34.8654543,31.8542313,0.0]"
"17","1500-2999.geojson","944",,"#2803","Point","[2.337644,48.8606111,0.0]"
"17","1500-2999.geojson","945",,"#2803","Point","[2.337644,48.8606111,0.0]"
"18","1500-2999.geojson","610",,"#2333","Point","[35.0247738,32.76731,0.0]"
"18","1500-2999.geojson","611",,"#2333","Point","[35.0247738,32.76731,0.0]"
"19","1500-2999.geojson","107",,"#1544","Point","[35.7638909,33.2964528,0.0]"
"19","1500-2999.geojson","108",,"#1544","Point","[35.7638909,33.2964528,0.0]"
"20","1500-2999.geojson","523",,"#2053","Point","[35.1322231,31.7650944,0.0]"
"20","1500-2999.geojson","524",,"#2053","Point","[35.1322231,31.7650944,0.0]"
"21","1500-2999.geojson","105",,"#1544","Point","[35.7667022,33.2999937,0.0]"
"21","1500-2999.geojson","106",,"#1544","Point","[35.7667022,33.2999937,0.0]"
"22","1500-2999.geojson","983",,"#2896","Point","[14.26812,40.8517983,0.0]"
"22","1500-2999.geojson","984",,"#2896","Point","[14.26812,40.8517983,0.0]"
"22","1500-2999.geojson","985",,"#2896","Point","[14.26812,40.8517983,0.0]"
"23","1500-2999.geojson","268",,"#1780","Point","[35.6826086,33.2421415,0.0]"
"23","1500-2999.geojson","269",,"#1780","Point","[35.6826086,33.2421415,0.0]"
"24","1500-2999.geojson","345",,"#1949","Point","[34.982327,31.893357,0.0]"
"24","1500-2999.geojson","346",,"#1949","Point","[34.982327,31.893357,0.0]"
"25","1500-2999.geojson","81",,"#1516","Point","[34.7245484,31.9351668,0.0]"
"25","1500-2999.geojson","82",,"#1516","Point","[34.7245484,31.9351668,0.0]"
"26","1500-2999.geojson","486",,"#2023","Point","[12.4787695,41.9110134,0.0]"
"26","1500-2999.geojson","487",,"#2023","Point","[12.4787695,41.9110134,0.0]"
"27","1500-2999.geojson","1",,"#1797","Point","[35.0908154,31.7753561,0.0]"
"27","1500-2999.geojson","291",,"#1797","Point","[35.0908154,31.7753561,0.0]"
"28","1500-2999.geojson","367",,"#1960","Point","[35.0767458,32.561612,0.0]"
"28","1500-2999.geojson","369",,"#1960","Point","[35.0767458,32.561612,0.0]"
"28","1500-2999.geojson","370",,"#1960","Point","[35.0767458,32.561612,0.0]"
"29","1500-2999.geojson","247",,"#1775","Point","[22.3447563,40.0882151,0.0]"
"29","1500-2999.geojson","248",,"#1775","Point","[22.3447563,40.0882151,0.0]"
"30","1500-2999.geojson","44",,"#1801","Point","[35.1043348,33.0506992,0.0]"
"30","1500-2999.geojson","45",,"#1801","Point","[35.1043348,33.0506992,0.0]"
"31","1500-2999.geojson","377",,"#1960","Point","[35.1299046,31.7507898,0.0]"
"31","1500-2999.geojson","378",,"#1960","Point","[35.1299046,31.7507898,0.0]"
"32","1500-2999.geojson","521",,"#2047","Point","[35.4832732,32.8878808,0.0]"
"32","1500-2999.geojson","522",,"#2047","Point","[35.4832732,32.8878808,0.0]"
"33","1500-2999.geojson","426",,"#1992","Point","[34.9384453,29.5261106,0.0]"
"33","1500-2999.geojson","427",,"#1992","Point","[34.9384453,29.5261106,0.0]"
"33","1500-2999.geojson","428",,"#1992","Point","[34.9384453,29.5261106,0.0]"
"34","1500-2999.geojson","451",,"#2014","Point","[34.8367753,31.5697735,0.0]"
"34","1500-2999.geojson","452",,"#2014","Point","[34.8367753,31.5697735,0.0]"
"35","1500-2999.geojson","292",,"#1854","Point","[34.8915927,32.3866307,0.0]"
"35","1500-2999.geojson","293",,"#1854","Point","[34.8915927,32.3866307,0.0]"
"36","1500-2999.geojson","371",,"#1960","Point","[34.944247,32.547972,0.0]"
"36","1500-2999.geojson","372",,"#1960","Point","[34.944247,32.547972,0.0]"
"36","1500-2999.geojson","373",,"#1960","Point","[34.944247,32.547972,0.0]"
"37","1500-2999.geojson","119",,"#1558","Point","[35.73771,32.997164,0.0]"
"37","1500-2999.geojson","120",,"#1558","Point","[35.73771,32.997164,0.0]"
"38","1500-2999.geojson","124",,"#1566","Point","[21.6305896,39.7217044,0.0]"
"38","1500-2999.geojson","125",,"#1566","Point","[21.6305896,39.7217044,0.0]"
